,longitude,latitude,event_type,bulletin,origin_time,depth,magnitude
event_2022_10000,-28.192400,60.9493,,leb,2022-01-02T11:49:29.020000Z,0.000,3.9
event_2022_29,33.689000,67.762,explosion,helsinki,2022-01-02T12:08:31.400000Z,0.000,1.2
event_2022_30,33.827000,67.784,explosion,helsinki,2022-01-02T12:09:44.800000Z,0.000,1.4
event_2022_31,33.861000,67.632,explosion,helsinki,2022-01-02T12:13:58.100000Z,0.000,1.3
event_2022_10001,-28.038900,61.0635,,leb,2022-01-02T12:18:33.260000Z,0.000,3.0
event_2022_10002,95.261500,24.7004,,leb,2022-01-02T12:23:08.220000Z,135.200,3.4
event_2022_32,33.847000,67.636,explosion,helsinki,2022-01-02T12:27:34.600000Z,0.000,1.1
event_2022_33,33.884000,67.616,explosion,helsinki,2022-01-02T12:29:30.300000Z,0.000,1.1
event_2022_10003,-27.971500,61.048,,leb,2022-01-02T12:30:51.440000Z,0.000,3.8
event_2022_10004,-129.557000,50.2176,,leb,2022-01-02T13:10:08.150000Z,0.000,3.5
event_2022_10005,50.126500,31.6506,,leb,2022-01-02T13:52:43.340000Z,0.000,3.7
event_2022_10006,-28.005000,61.0007,,leb,2022-01-02T13:56:35.200000Z,0.000,3.0
event_2022_34,33.916000,67.762,explosion,helsinki,2022-01-02T14:05:49.400000Z,0.000,1.8
event_2022_10007,141.641900,32.2278,,leb,2022-01-02T14:27:33.610000Z,0.000,2.6
event_2022_10008,170.637100,54.7626,,leb,2022-01-02T14:36:04.120000Z,0.000,3.0
event_2022_9511,7.923200,59.845,earthquake,norsar,2022-01-02T16:15:32.502000Z,0.920,1.3
event_2022_35,30.865000,69.406,explosion,helsinki,2022-01-02T16:39:43.500000Z,0.000,1.0
event_2022_9512,7.945700,59.8307,earthquake,norsar,2022-01-02T16:46:19.270000Z,0.000,1.6
event_2022_36,30.620000,69.39,explosion,helsinki,2022-01-02T16:57:27.600000Z,0.000,1.1
event_2022_10009,87.850400,27.7506,,leb,2022-01-02T17:02:59.200000Z,0.000,3.6
event_2022_37,20.082000,67.861,explosion,helsinki,2022-01-02T17:33:59.200000Z,0.000,0.8
event_2022_38,20.193000,67.886,explosion,helsinki,2022-01-02T19:39:08.500000Z,0.000,0.7
event_2022_39,20.609000,67.178,explosion,helsinki,2022-01-02T19:54:02.500000Z,0.000,1.0
event_2022_10010,127.726800,-2.9093,,leb,2022-01-02T20:04:54.650000Z,35.500,4.4
event_2022_40,33.847000,67.645,explosion,helsinki,2022-01-02T20:05:11.700000Z,0.000,1.1
event_2022_10011,142.648100,42.1047,,leb,2022-01-02T20:52:44.550000Z,76.200,3.5
event_2022_41,20.016000,67.836,explosion,helsinki,2022-01-02T21:23:23.600000Z,0.000,1.8
event_2022_10012,20.248700,67.8714,,leb,2022-01-02T21:23:26.240000Z,0.000,2.2
event_2022_10013,145.138300,13.9666,,leb,2022-01-02T22:32:58.810000Z,140.100,4.2
event_2022_10014,127.373000,1.8933,,leb,2022-01-02T22:44:22.820000Z,96.700,4.4
event_2022_42,20.587000,67.179,explosion,helsinki,2022-01-02T23:01:04.100000Z,0.000,1.1
event_2022_43,33.750000,67.787,explosion,helsinki,2022-01-02T23:03:39.800000Z,0.000,1.5
event_2022_10015,71.150300,35.0001,,leb,2022-01-02T23:26:06.330000Z,0.000,3.0
event_2022_44,20.022000,67.81,explosion,helsinki,2022-01-03T00:15:03.600000Z,0.000,1.2
event_2022_45,20.018000,67.824,explosion,helsinki,2022-01-03T00:18:12.700000Z,0.000,1.4
event_2022_46,20.166000,67.841,explosion,helsinki,2022-01-03T00:23:19.200000Z,0.000,1.1
event_2022_47,20.220000,67.833,explosion,helsinki,2022-01-03T00:27:29.700000Z,0.000,1.0
event_2022_10016,88.315900,33.8964,,leb,2022-01-03T00:28:02.330000Z,0.000,3.7
event_2022_10017,117.620700,56.3021,,leb,2022-01-03T01:34:52.250000Z,0.000,3.6
event_2022_48,20.570000,67.187,explosion,helsinki,2022-01-03T01:38:28.600000Z,0.000,1.5
event_2022_9513,7.909300,59.8466,earthquake,norsar,2022-01-03T02:21:55.156000Z,1.810,2.4
event_2022_49,20.306000,67.876,explosion,helsinki,2022-01-03T03:27:33.400000Z,0.000,0.9
event_2022_50,25.376000,67.897,explosion,helsinki,2022-01-03T04:00:16.800000Z,0.000,0.8
event_2022_51,33.920000,67.641,explosion,helsinki,2022-01-03T04:04:29.200000Z,0.000,1.2
event_2022_52,33.884000,67.635,explosion,helsinki,2022-01-03T04:07:51.700000Z,0.000,1.0
event_2022_53,33.955000,67.637,explosion,helsinki,2022-01-03T04:08:56.100000Z,0.000,1.2
event_2022_54,30.845000,69.404,explosion,helsinki,2022-01-03T04:20:07.400000Z,0.000,1.0
event_2022_10018,31.871600,34.6888,,leb,2022-01-03T06:28:02.980000Z,0.000,3.1
event_2022_55,33.986000,67.676,explosion,helsinki,2022-01-03T06:28:17.300000Z,0.000,1.1
event_2022_56,33.957000,67.621,explosion,helsinki,2022-01-03T06:40:27.400000Z,0.000,1.3
event_2022_10019,126.596000,24.0981,,leb,2022-01-03T07:21:57.390000Z,0.000,3.8
event_2022_57,20.201000,67.872,explosion,helsinki,2022-01-03T07:25:56.900000Z,0.000,0.9
event_2022_58,20.516000,67.128,explosion,helsinki,2022-01-03T07:51:28.000000Z,0.000,1.1
event_2022_10020,122.280100,24.146,,leb,2022-01-03T09:46:36.570000Z,21.600,4.6
event_2022_10021,142.748500,23.1738,,leb,2022-01-03T10:00:24.250000Z,82.000,3.8
event_2022_59,20.310000,67.813,explosion,helsinki,2022-01-03T10:08:11.900000Z,0.000,1.0
event_2022_60,23.131000,62.046,explosion,helsinki,2022-01-03T10:12:55.500000Z,0.000,1.0
event_2022_10022,126.610900,24.1084,,leb,2022-01-03T10:51:20.620000Z,0.000,3.9
event_2022_10023,-39.815200,32.8022,,leb,2022-01-03T11:21:34.640000Z,0.000,4.1
event_2022_61,28.138000,61.085,explosion,helsinki,2022-01-03T11:34:08.000000Z,0.000,1.0
event_2022_62,20.278000,67.874,explosion,helsinki,2022-01-03T11:35:45.500000Z,0.000,0.9
event_2022_10024,-166.187100,53.7007,,leb,2022-01-03T11:58:52.340000Z,0.000,3.8
event_2022_63,27.521000,61.206,explosion,helsinki,2022-01-03T12:05:53.900000Z,0.000,1.1
event_2022_64,33.197000,68.134,explosion,helsinki,2022-01-03T12:56:39.600000Z,0.000,1.2
event_2022_65,21.622000,61.637,explosion,helsinki,2022-01-03T13:46:13.200000Z,0.000,1.2
event_2022_66,22.914000,62.749,explosion,helsinki,2022-01-03T13:48:28.900000Z,0.000,1.1
event_2022_67,20.631000,67.183,explosion,helsinki,2022-01-03T15:00:11.200000Z,0.000,1.1
event_2022_68,30.698000,69.395,explosion,helsinki,2022-01-03T15:57:21.100000Z,0.000,1.1
event_2022_69,20.496000,67.184,explosion,helsinki,2022-01-03T16:29:14.200000Z,0.000,1.3
event_2022_70,30.534000,69.354,explosion,helsinki,2022-01-03T16:47:50.400000Z,0.000,1.2
event_2022_71,20.533000,67.168,explosion,helsinki,2022-01-03T16:58:57.300000Z,0.000,1.2
event_2022_72,20.272000,67.858,explosion,helsinki,2022-01-03T17:23:31.100000Z,0.000,1.0
event_2022_10025,-101.005100,18.5545,,leb,2022-01-03T17:34:44.070000Z,33.700,4.2
event_2022_73,20.290000,67.805,explosion,helsinki,2022-01-03T18:03:27.100000Z,0.000,1.0
event_2022_9514,22.584200,77.1737,earthquake,norsar,2022-01-03T18:42:31.592000Z,15.000,2.5
event_2022_10026,96.820600,4.4263,,leb,2022-01-03T18:59:43.130000Z,152.000,3.3
event_2022_10027,25.395800,36.3465,,leb,2022-01-03T19:14:20.780000Z,0.000,3.1
event_2022_74,20.267000,67.837,explosion,helsinki,2022-01-03T19:33:44.400000Z,0.000,1.2
event_2022_75,20.064000,67.898,explosion,helsinki,2022-01-03T20:18:18.000000Z,0.000,0.8
event_2022_76,26.162000,63.644,explosion,helsinki,2022-01-03T20:29:23.100000Z,0.000,0.9
event_2022_10028,123.493800,6.6728,,leb,2022-01-03T20:38:18.500000Z,0.000,4.2
event_2022_10029,56.015200,27.5258,,leb,2022-01-03T21:03:18.980000Z,0.000,3.1
event_2022_10030,141.333100,27.1559,,leb,2022-01-03T21:08:53.150000Z,68.100,5.1
event_2022_9515,-1.156300,80.8837,earthquake,norsar,2022-01-03T21:32:08.875000Z,10.000,2.4
event_2022_77,20.252000,67.833,explosion,helsinki,2022-01-03T22:09:51.900000Z,0.000,1.0
event_2022_10031,158.216200,50.6495,,leb,2022-01-03T22:10:23.810000Z,72.200,2.0
event_2022_78,20.660000,67.175,explosion,helsinki,2022-01-03T22:16:11.400000Z,0.000,0.9
event_2022_9516,6.649800,85.0255,earthquake,norsar,2022-01-03T22:21:55.279000Z,10.000,2.6
event_2022_10032,5.206200,84.7416,,leb,2022-01-03T22:21:58.450000Z,0.000,3.7
event_2022_10033,147.521700,48.0156,,leb,2022-01-03T22:23:23.020000Z,427.100,2.7
event_2022_79,20.194000,67.742,explosion,helsinki,2022-01-03T22:29:04.100000Z,0.000,1.0
event_2022_10034,23.442100,67.1277,,leb,2022-01-03T22:43:23.070000Z,0.000,2.3
event_2022_80,20.564000,67.165,explosion,helsinki,2022-01-03T23:10:05.000000Z,0.000,1.0
event_2022_10035,122.283300,24.2422,,leb,2022-01-03T23:17:30.950000Z,39.800,3.5
event_2022_81,20.078000,67.87,explosion,helsinki,2022-01-04T00:16:42.200000Z,0.000,1.3
event_2022_82,20.268000,67.848,explosion,helsinki,2022-01-04T00:19:11.400000Z,0.000,1.4
event_2022_10036,93.148300,12.6209,,leb,2022-01-04T01:14:18.250000Z,0.000,4.0
event_2022_83,20.291000,67.882,explosion,helsinki,2022-01-04T01:27:19.500000Z,0.000,0.8
event_2022_84,20.191000,67.851,explosion,helsinki,2022-01-04T01:44:27.000000Z,0.000,1.4
event_2022_10037,25.476500,35.6957,,leb,2022-01-04T01:50:10.170000Z,0.000,3.4
event_2022_85,19.988000,67.878,explosion,helsinki,2022-01-04T01:54:52.800000Z,0.000,0.8
event_2022_10038,142.353900,31.0898,,leb,2022-01-04T03:12:25.880000Z,0.000,3.5
event_2022_10039,152.861200,46.1784,,leb,2022-01-04T03:17:27.050000Z,43.300,3.6
event_2022_10040,-35.438100,35.2282,,leb,2022-01-04T03:18:35.960000Z,0.000,4.8
event_2022_86,33.909000,67.632,explosion,helsinki,2022-01-04T04:05:07.000000Z,0.000,1.3
event_2022_87,34.204000,67.629,explosion,helsinki,2022-01-04T04:07:48.600000Z,0.000,1.5
event_2022_88,33.647000,67.722,explosion,helsinki,2022-01-04T04:30:35.000000Z,0.000,1.1
event_2022_10041,82.206700,43.3294,,leb,2022-01-04T04:44:59.690000Z,0.000,4.1
event_2022_10042,15.930400,51.6691,,leb,2022-01-04T05:04:35.170000Z,0.000,2.2
event_2022_10043,143.069000,22.4643,,leb,2022-01-04T05:31:29.580000Z,429.500,2.9
event_2022_10044,141.612500,37.7166,,leb,2022-01-04T05:35:07.620000Z,60.500,3.6
event_2022_10045,139.270100,41.5927,,leb,2022-01-04T06:47:20.460000Z,0.000,2.9
event_2022_89,20.255000,67.847,explosion,helsinki,2022-01-04T07:20:23.500000Z,0.000,1.0
event_2022_10046,49.554900,40.6374,,leb,2022-01-04T07:23:47.620000Z,0.000,3.9
event_2022_10047,147.353100,18.3368,,leb,2022-01-04T07:50:28.080000Z,0.000,3.2
event_2022_9517,-4.279000,81.5644,earthquake,norsar,2022-01-04T07:53:27.995000Z,10.000,2.7
event_2022_90,33.895000,67.651,explosion,helsinki,2022-01-04T07:58:53.900000Z,0.000,1.3
event_2022_91,24.083000,63.452,explosion,helsinki,2022-01-04T08:13:33.000000Z,0.000,1.3
event_2022_10048,86.715000,32.9768,,leb,2022-01-04T08:32:05.440000Z,0.000,2.8
event_2022_92,20.305000,67.788,explosion,helsinki,2022-01-04T09:48:53.400000Z,0.000,1.0
event_2022_10049,52.366100,40.3125,,leb,2022-01-04T10:24:52.000000Z,0.000,3.1
event_2022_93,26.847000,62.261,explosion,helsinki,2022-01-04T10:33:07.200000Z,0.000,1.1
event_2022_94,20.905000,67.628,explosion,helsinki,2022-01-04T10:40:59.200000Z,0.000,1.3
event_2022_10050,8.626400,73.9009,,leb,2022-01-04T10:47:57.950000Z,0.000,3.0
event_2022_9518,9.289200,73.9531,earthquake,norsar,2022-01-04T10:47:59.627000Z,10.000,2.6
event_2022_9519,22.309500,77.0344,earthquake,norsar,2022-01-04T11:12:11.024000Z,10.000,2.1
event_2022_9520,22.329599,77.0426,earthquake,norsar,2022-01-04T11:12:11.052000Z,10.000,2.1
event_2022_9521,22.701700,77.2153,earthquake,norsar,2022-01-04T11:17:53.616000Z,11.940,2.2
event_2022_9522,22.366899,77.1796,earthquake,norsar,2022-01-04T11:17:54.590000Z,14.670,2.1
event_2022_95,20.136000,67.841,explosion,helsinki,2022-01-04T11:30:02.000000Z,0.000,0.9
event_2022_96,28.216000,61.022,explosion,helsinki,2022-01-04T11:34:07.300000Z,0.000,1.2
event_2022_97,24.902000,60.365,explosion,helsinki,2022-01-04T11:37:08.800000Z,0.000,1.1
event_2022_10051,141.657000,37.5756,,leb,2022-01-04T11:37:14.250000Z,69.900,3.3
event_2022_98,27.983000,59.217,explosion,helsinki,2022-01-04T11:49:16.900000Z,0.000,1.7
event_2022_99,24.942000,60.338,explosion,helsinki,2022-01-04T11:51:03.600000Z,0.000,0.7
event_2022_100,22.199000,60.249,explosion,helsinki,2022-01-04T12:03:36.200000Z,0.000,1.0
event_2022_101,27.523000,61.2,explosion,helsinki,2022-01-04T12:10:30.000000Z,0.000,0.8
event_2022_10052,-11.687900,22.8045,,leb,2022-01-04T12:19:35.040000Z,0.000,3.7
event_2022_102,20.152000,67.869,explosion,helsinki,2022-01-04T12:46:08.000000Z,0.000,0.9
event_2022_10053,23.689300,35.8778,,leb,2022-01-04T12:54:26.460000Z,0.000,3.6
event_2022_103,20.228000,67.816,explosion,helsinki,2022-01-04T13:00:02.400000Z,0.000,0.8
event_2022_104,20.170000,67.839,explosion,helsinki,2022-01-04T13:04:15.400000Z,0.000,1.1
event_2022_105,20.258000,67.817,explosion,helsinki,2022-01-04T13:14:47.500000Z,0.000,0.9
event_2022_10054,153.086200,46.6497,,leb,2022-01-04T13:21:10.780000Z,0.000,3.5
event_2022_106,24.582000,60.217,explosion,helsinki,2022-01-04T14:19:50.800000Z,0.000,1.1
event_2022_10055,146.330500,48.3311,,leb,2022-01-04T14:32:13.890000Z,491.600,3.6
event_2022_10056,93.612800,11.8155,,leb,2022-01-04T15:02:41.410000Z,134.100,3.9
event_2022_10057,152.915100,46.1819,,leb,2022-01-04T15:04:12.690000Z,43.500,3.3
event_2022_107,20.103000,67.777,explosion,helsinki,2022-01-04T16:09:08.500000Z,0.000,1.2
event_2022_10058,145.665900,17.5297,,leb,2022-01-04T16:28:57.850000Z,502.700,3.1
event_2022_10059,75.967700,32.8523,,leb,2022-01-04T17:15:46.480000Z,0.000,3.8
